date	commit	alt	variant	target	optimize	zig	cpu_mhz	status	oracle_arm_match	oracle_arm_total	oracle_rv_match	oracle_rv_total	probe_arm_match	probe_arm_total	probe_rv_match	probe_rv_total	corpus_pass	corpus_total	burst_equiv_pass	invariant_violations	class_checks	class_checks_pass	fw_ns_per_instr	sys_ns_per_instr	chip_ns_per_instr	debug_ns_per_instr	debug_chip_ns_per_instr	stubhost_ns	access_ns	ppb_ns	irq_entry_cycles	latency_cycles_per_kinstr	fw_ns_m3	fw_ns_m4	fw_ns_m33	fw_ns_m55	fw_ns_c3	fw_ns_c6	sys_ns_m3	sys_ns_m4	sys_ns_m33	sys_ns_m55	sys_ns_c3	sys_ns_c6	irq_entry_cycles_m3	irq_entry_cycles_m4	irq_entry_cycles_m33	irq_entry_cycles_m55	processor_bytes	heap_peak_bytes	table_bytes	processor_bytes_m0plus	processor_bytes_m23	processor_bytes_m3	processor_bytes_m4	processor_bytes_m33	processor_bytes_m55	processor_bytes_c3	processor_bytes_c6	obj_text_m0plus	obj_text_m23	obj_text_m3	obj_text_m4	obj_text_m33	obj_text_m55	obj_text_c3	obj_text_c6	obj_rodata_m0plus	obj_rodata_m23	obj_rodata_m3	obj_rodata_m4	obj_rodata_m33	obj_rodata_m55	obj_rodata_c3	obj_rodata_c6	link_delta_bytes_m0plus	link_delta_bytes_m23	link_delta_bytes_m3	link_delta_bytes_m4	link_delta_bytes_m33	link_delta_bytes_m55	link_delta_bytes_c3	link_delta_bytes_c6	build_s_core_1	build_s_core_12	build_s_full_1	build_s_full_12	rss_mb_core_1	rss_mb_core_12	rss_mb_full_1	rss_mb_full_12	isa_decls_required	isa_decls_optional	diag_pass	diag_total	harness_sha	corpus_sha	oracle_sha
2026-09-24	5fb32c4	folded-tree	history=ring;taskset=0	aarch64-linux	ReleaseFast	0.16.0	4037.889	pass	3949	3949	4308	4308	107	107	91	91	67	67	1	0	602	602	5.132	6.547	7.635	12.066	15.488	3.959	1.649	11.853	1.650	98.367	6.227	6.316	6.271	6.258	4.371	4.610	7.756	7.924	7.981	7.997	5.019	5.357	12.000	12.000	12.000	12.000	1632	2097888	256	1632	1632	1632	1632	1632	1632	1056	1056	79856	79856	79856	79856	79856	79856	21128	21144	4194	4194	4194	4194	4194	4194	1121	1121	1352192	1774368	5775096	7665760	7952272	21622600	553592	585232	23.105	23.394	92.511	77.254	754	766	1609	1638	29	7	11	11	a5156f4ca76dad3c	c36b2a68359ad8d6	435f66b34344ebfa
2026-09-24	50bec1a	folded-tree	history=ring;taskset=0	aarch64-linux	ReleaseFast	0.16.0	3676.907	pass	3949	3949	4308	4308	107	107	91	91	67	67	1	0	602	602	5.089	6.565	7.672	11.908	16.053	3.999	1.653	10.301	1.650	98.367	6.253	6.289	6.276	6.366	4.277	4.329	7.735	7.756	8.040	8.287	5.220	5.375	12.000	12.000	12.000	12.000	1632	2097888	256	1632	1632	1632	1632	1632	1632	1056	1056	79780	79780	79780	79780	79780	79780	20992	21008	4194	4194	4194	4194	4194	4194	1121	1121	1351864	1774048	5774824	7665488	7951952	21622272	553336	585040	22.375	22.218	94.077	73.610	739	784	1651	1616	29	7	11	11	a5156f4ca76dad3c	c36b2a68359ad8d6	435f66b34344ebfa
